Time,Signal,Price,EMA9,EMA21,RSI,Volume,VolumeMA,4H,Reason
2026-03-24 20:45:00,HOLD,69873.04,70069.39,70353.63,32.47,188.16,307.17,true,No active cross event
2026-03-24 21:00:00,HOLD,69915.27,70038.56,70313.78,34.17,161.03,306.92,true,No active cross event
2026-03-24 21:15:00,HOLD,69798.32,69990.51,70266.92,31.79,190.32,310.65,true,No active cross event
2026-03-24 21:30:00,HOLD,69564.81,69905.37,70203.09,27.64,365.30,321.05,true,No active cross event
2026-03-24 21:45:00,HOLD,69476.87,69819.67,70137.07,26.25,173.12,323.64,true,No active cross event
2026-03-24 22:00:00,HOLD,69237.43,69703.22,70055.28,22.88,379.67,336.44,true,No active cross event
2026-03-24 22:15:00,HOLD,69177.17,69598.01,69975.45,22.11,233.00,345.09,true,No active cross event
2026-03-24 22:30:00,HOLD,68946.27,69467.66,69881.89,19.41,362.38,358.42,true,No active cross event
2026-03-24 22:45:00,HOLD,69238.43,69421.82,69823.40,30.89,319.19,365.32,true,No active cross event
2026-03-24 23:00:00,HOLD,69366.35,69410.72,69781.85,35.24,235.22,362.31,true,No active cross event
2026-03-24 23:15:00,HOLD,69408.35,69410.25,69747.89,36.65,208.41,362.97,true,No active cross event
2026-03-24 23:30:00,HOLD,69530.83,69434.37,69728.16,40.71,258.42,346.80,true,No active cross event
2026-03-24 23:45:00,HOLD,69430.24,69433.54,69701.08,38.53,106.01,319.24,true,No active cross event
2026-03-25 00:00:00,HOLD,69640.80,69474.99,69695.60,45.15,214.70,309.08,true,No active cross event
2026-03-25 00:15:00,HOLD,69537.72,69487.54,69681.24,42.72,105.34,295.69,true,No active cross event
2026-03-25 00:30:00,HOLD,69445.56,69479.14,69659.82,40.62,115.80,287.24,true,No active cross event
2026-03-25 00:45:00,HOLD,69377.33,69458.78,69634.14,39.09,111.58,247.96,true,No active cross event
2026-03-25 01:00:00,HOLD,69415.54,69450.13,69614.26,40.44,66.05,230.43,true,No active cross event
2026-03-25 01:15:00,HOLD,70012.33,69562.57,69650.45,56.67,493.76,232.33,true,No active cross event
2026-03-25 01:30:00,HOLD,70059.59,69661.98,69687.65,57.65,257.61,227.25,true,No active cross event
2026-03-25 01:45:00,HOLD,70093.19,69748.22,69724.51,58.38,201.03,227.90,true,RSI not oversold
2026-03-25 02:00:00,HOLD,69992.84,69797.14,69748.91,55.33,170.49,228.37,true,RSI not oversold
2026-03-25 02:15:00,HOLD,70059.91,69849.70,69777.18,56.95,125.38,225.12,true,RSI not oversold
2026-03-25 02:30:00,HOLD,70275.75,69934.91,69822.51,61.74,237.67,218.74,true,RSI not oversold
2026-03-25 02:45:00,HOLD,70332.93,70014.51,69868.91,62.92,153.11,217.74,true,No active cross event
2026-03-25 03:00:00,HOLD,70543.52,70120.31,69930.24,66.95,176.62,207.59,true,No active cross event
2026-03-25 03:15:00,HOLD,70238.88,70144.03,69958.29,57.25,271.18,209.50,true,No active cross event
2026-03-25 03:30:00,HOLD,70288.01,70172.82,69988.27,58.30,119.76,197.37,true,No active cross event
2026-03-25 03:45:00,HOLD,70316.96,70201.65,70018.15,58.94,119.36,187.38,true,No active cross event
2026-03-25 04:00:00,HOLD,70536.45,70268.61,70065.27,63.51,164.83,183.86,true,No active cross event
2026-03-25 04:15:00,HOLD,70748.60,70364.61,70127.39,67.30,257.33,186.30,true,No active cross event
2026-03-25 04:30:00,HOLD,70665.43,70424.77,70176.30,64.47,254.54,186.11,true,No active cross event
2026-03-25 04:45:00,HOLD,70556.74,70451.17,70210.89,60.87,64.70,184.04,true,No active cross event
2026-03-25 05:00:00,HOLD,70726.00,70506.13,70257.72,64.22,130.07,179.81,true,No active cross event
2026-03-25 05:15:00,HOLD,70668.99,70538.70,70295.10,62.29,63.03,177.70,true,No active cross event
2026-03-25 05:30:00,HOLD,70923.89,70615.74,70352.27,67.06,432.78,193.54,true,No active cross event
2026-03-25 05:45:00,HOLD,70840.75,70660.74,70396.67,64.21,158.45,195.89,true,No active cross event
2026-03-25 06:00:00,HOLD,70803.63,70689.32,70433.67,62.92,299.52,207.56,true,No active cross event
2026-03-25 06:15:00,HOLD,70763.47,70704.15,70463.65,61.48,175.81,191.66,true,No active cross event
2026-03-25 06:30:00,HOLD,70738.50,70711.02,70488.64,60.56,105.37,184.05,true,No active cross event
2026-03-25 06:45:00,HOLD,70677.18,70704.25,70505.78,58.24,43.49,176.17,true,No active cross event
2026-03-25 07:00:00,HOLD,70609.08,70685.22,70515.17,55.68,138.34,174.57,true,No active cross event
2026-03-25 07:15:00,HOLD,70595.04,70667.18,70522.43,55.15,218.24,179.21,true,No active cross event
2026-03-25 07:30:00,HOLD,70695.96,70672.94,70538.21,58.26,129.25,173.79,true,No active cross event
2026-03-25 07:45:00,HOLD,70531.09,70644.57,70537.56,51.92,97.03,170.99,true,No active cross event
2026-03-25 08:00:00,HOLD,70494.00,70614.45,70533.60,50.59,181.88,171.25,true,No active cross event
2026-03-25 08:15:00,HOLD,70530.14,70597.59,70533.28,51.88,183.86,166.88,true,No active cross event
2026-03-25 08:30:00,HOLD,70743.90,70626.85,70552.43,58.78,102.71,166.03,true,No active cross event
2026-03-25 08:45:00,HOLD,70716.70,70644.82,70567.36,57.64,44.71,162.30,true,No active cross event
2026-03-25 09:00:00,HOLD,70850.39,70685.94,70593.09,61.56,79.82,158.05,true,No active cross event
2026-03-25 09:15:00,HOLD,70865.74,70721.90,70617.88,62.00,262.69,158.31,true,No active cross event
2026-03-25 09:30:00,HOLD,70769.20,70731.36,70631.64,57.59,193.53,155.26,true,No active cross event
2026-03-25 09:45:00,HOLD,70968.64,70778.81,70662.27,63.38,87.42,156.40,true,No active cross event
2026-03-25 10:00:00,HOLD,71245.33,70872.12,70715.28,69.59,505.87,175.19,true,No active cross event
2026-03-25 10:15:00,HOLD,71198.74,70937.44,70759.23,67.51,126.16,178.35,true,No active cross event
2026-03-25 10:30:00,HOLD,71220.93,70994.14,70801.20,68.00,107.59,162.09,true,No active cross event
2026-03-25 10:45:00,HOLD,71117.66,71018.84,70829.97,63.23,110.58,159.69,true,No active cross event
2026-03-25 11:00:00,HOLD,71076.02,71030.28,70852.34,61.36,146.66,152.05,true,No active cross event
2026-03-25 11:15:00,HOLD,71234.41,71071.11,70887.07,65.53,285.53,157.54,true,No active cross event
2026-03-25 11:30:00,HOLD,71201.00,71097.08,70915.61,63.96,222.75,163.41,true,No active cross event
2026-03-25 11:45:00,HOLD,70991.83,71076.03,70922.54,55.07,279.82,175.22,true,No active cross event
2026-03-25 12:00:00,HOLD,71142.98,71089.42,70942.58,59.46,99.37,173.27,true,No active cross event
2026-03-25 12:15:00,HOLD,71069.56,71085.45,70954.12,56.57,55.44,165.13,true,No active cross event
2026-03-25 12:30:00,HOLD,71056.76,71079.71,70963.45,56.05,147.02,166.02,true,No active cross event
2026-03-25 12:45:00,HOLD,70926.88,71049.15,70960.13,51.01,168.90,169.61,true,No active cross event
2026-03-25 13:00:00,HOLD,70811.41,71001.60,70946.61,46.97,212.93,171.17,true,No active cross event
2026-03-25 13:15:00,HOLD,71192.19,71039.72,70968.94,58.62,170.03,170.48,true,No active cross event
2026-03-25 13:30:00,HOLD,71478.32,71127.44,71015.24,64.87,635.52,197.12,true,No active cross event
2026-03-25 13:45:00,HOLD,71248.39,71151.63,71036.44,57.37,132.36,201.50,true,No active cross event
2026-03-25 14:00:00,HOLD,71334.03,71188.11,71063.49,59.26,208.93,207.95,true,No active cross event
2026-03-25 14:15:00,HOLD,71268.20,71204.13,71082.10,57.16,126.95,201.17,true,No active cross event
2026-03-25 14:30:00,HOLD,71263.02,71215.91,71098.55,56.99,107.49,196.86,true,No active cross event
2026-03-25 14:45:00,HOLD,71345.91,71241.91,71121.04,59.10,155.06,200.25,true,No active cross event
2026-03-25 15:00:00,HOLD,71420.00,71277.53,71148.21,60.94,137.16,181.81,true,No active cross event
2026-03-25 15:15:00,HOLD,71405.92,71303.20,71171.64,60.38,77.53,179.38,true,No active cross event
2026-03-25 15:30:00,HOLD,71436.31,71329.83,71195.70,61.21,87.56,178.38,true,No active cross event
2026-03-25 15:45:00,HOLD,71501.39,71364.14,71223.49,62.98,182.96,182.00,true,No active cross event
2026-03-25 16:00:00,HOLD,71599.09,71411.13,71257.64,65.53,105.40,179.94,true,No active cross event
2026-03-25 16:15:00,HOLD,71870.28,71502.96,71313.33,71.41,275.01,179.41,true,No active cross event
2026-03-25 16:30:00,HOLD,71813.42,71565.05,71358.80,68.76,499.75,193.26,true,No active cross event
2026-03-25 16:45:00,HOLD,71678.97,71587.83,71387.90,62.83,172.87,187.91,true,No active cross event
2026-03-25 17:00:00,HOLD,71750.01,71620.27,71420.82,64.57,105.28,188.21,true,No active cross event
2026-03-25 17:15:00,HOLD,71341.68,71564.55,71413.63,50.06,386.15,204.74,true,No active cross event
2026-03-25 17:30:00,HOLD,71369.58,71525.56,71409.62,50.87,142.89,204.54,true,No active cross event
2026-03-25 17:45:00,HOLD,71715.24,71563.49,71437.41,59.63,398.60,216.02,true,No active cross event
2026-03-25 18:00:00,HOLD,71708.42,71592.48,71462.04,59.41,242.73,217.51,true,No active cross event
2026-03-25 18:15:00,HOLD,71621.96,71598.38,71476.58,56.49,153.16,216.67,true,No active cross event
2026-03-25 18:30:00,HOLD,71728.55,71624.41,71499.49,59.15,368.45,203.31,true,No active cross event
2026-03-25 18:45:00,HOLD,71581.42,71615.81,71506.94,54.23,217.95,207.59,true,No active cross event
2026-03-25 19:00:00,HOLD,71392.91,71571.23,71496.57,48.64,345.30,214.41,true,No active cross event
2026-03-25 19:15:00,HOLD,71366.26,71530.24,71484.72,47.89,239.85,220.06,true,No active cross event
2026-03-25 19:30:00,HOLD,71365.99,71497.39,71473.93,47.88,118.97,220.63,true,No active cross event
2026-03-25 19:45:00,HOLD,71234.28,71444.77,71452.14,43.99,106.33,218.19,true,RSI not overbought
2026-03-25 20:00:00,HOLD,70825.25,71320.86,71395.15,34.58,511.59,236.92,true,RSI not overbought
2026-03-25 20:15:00,HOLD,71023.60,71261.41,71361.38,41.15,492.22,257.65,true,RSI not overbought
2026-03-25 20:30:00,HOLD,70878.43,71184.81,71317.47,38.13,214.46,263.99,true,RSI not overbought
2026-03-25 20:45:00,HOLD,70832.99,71114.45,71273.43,37.21,166.58,263.18,true,No active cross event
2026-03-25 21:00:00,HOLD,70874.45,71066.45,71237.16,38.67,255.41,270.68,true,No active cross event
2026-03-25 21:15:00,HOLD,71506.63,71154.49,71261.65,55.57,650.98,289.47,true,No active cross event
2026-03-25 21:30:00,HOLD,71467.51,71217.09,71280.37,54.57,244.57,276.72,true,No active cross event
2026-03-25 21:45:00,HOLD,71324.01,71238.47,71284.34,50.94,132.86,274.72,true,No active cross event
2026-03-25 22:00:00,HOLD,71148.33,71220.45,71271.97,46.83,126.55,275.78,true,No active cross event
2026-03-25 22:15:00,HOLD,71077.88,71191.93,71254.33,45.26,236.33,268.29,true,No active cross event
2026-03-25 22:30:00,HOLD,70913.40,71136.23,71223.33,41.73,144.76,268.38,true,No active cross event
2026-03-25 22:45:00,HOLD,70779.00,71064.78,71182.94,39.05,155.34,256.22,true,No active cross event
2026-03-25 23:00:00,HOLD,70922.94,71036.41,71159.30,43.25,145.38,251.35,true,No active cross event
2026-03-25 23:15:00,HOLD,70974.43,71024.02,71142.50,44.72,131.25,250.26,true,No active cross event
