time,signal,entry,sl,tp,outcome,reason,rsi,ema_fast,ema_slow,volume,volume_ma
2026-06-15 13:45,SELL,65662.01,65900.70,65264.19,PENDING,Signal accepted,47.80,65741.75,65745.51,131.22,117.20
2026-06-15 15:45,BUY,65917.37,65703.55,66273.73,PENDING,Signal accepted,59.24,65745.94,65732.65,336.42,109.58
2026-06-16 00:45,SELL,0.00,0.00,0.00,,Volume reject,46.96,66740.98,66743.89,170.69,263.76
2026-06-16 01:00,SELL,0.00,0.00,0.00,,Volume reject,45.12,66704.38,66726.99,97.77,262.65
2026-06-16 01:15,SELL,0.00,0.00,0.00,,Volume reject,45.93,66679.10,66713.45,110.84,252.56
2026-06-16 01:30,SELL,0.00,0.00,0.00,,Volume reject,46.53,66661.69,66702.41,53.28,241.35
2026-06-16 11:15,BUY,0.00,0.00,0.00,,Volume reject,57.66,66116.37,66113.46,100.64,177.55
2026-06-16 11:30,BUY,66398.52,66135.18,66837.43,PENDING,Signal accepted,59.51,66172.80,66139.38,238.66,186.91
2026-06-16 18:00,SELL,66207.56,66502.99,65715.18,PENDING,Signal accepted,39.66,66447.35,66466.47,330.23,147.21
2026-06-17 06:45,BUY,0.00,0.00,0.00,,Volume reject,56.26,65772.71,65772.54,65.80,83.41
2026-06-17 07:00,BUY,65905.21,65669.79,66297.58,PENDING,Signal accepted,54.72,65799.21,65784.60,84.63,81.75
2026-06-17 11:15,SELL,0.00,0.00,0.00,,Volume reject,41.22,65821.42,65832.05,53.26,141.47
2026-06-17 11:30,SELL,0.00,0.00,0.00,,Volume reject,40.80,65784.98,65814.52,115.55,144.11
2026-06-17 11:45,SELL,0.00,0.00,0.00,,Volume reject,40.17,65752.79,65797.20,110.27,146.34
2026-06-17 12:00,SELL,0.00,0.00,0.00,,Volume reject,44.07,65739.83,65787.27,103.64,147.29
2026-06-17 19:00,BUY,65345.99,65052.60,65834.98,PENDING,Signal accepted,58.55,65107.38,65076.04,212.50,184.40
2026-06-18 00:15,SELL,64470.00,65138.10,63356.51,PENDING,Signal accepted,36.15,65404.51,65481.51,651.70,324.68
2026-06-18 07:15,BUY,0.00,0.00,0.00,,Volume reject,52.59,64596.26,64587.79,66.79,95.57
2026-06-18 07:30,BUY,0.00,0.00,0.00,,Volume reject,54.37,64629.46,64603.66,57.94,93.35
2026-06-18 07:45,BUY,64689.50,64380.36,65204.74,PENDING,Signal accepted,51.84,64641.47,64611.46,146.45,94.29
2026-06-18 08:15,SELL,64320.00,64625.66,63810.57,PENDING,Signal accepted,40.97,64558.61,64577.85,149.46,91.16
2026-06-18 12:45,BUY,0.00,0.00,0.00,,Volume reject,61.77,64235.21,64217.66,106.81,163.51
2026-06-18 13:00,BUY,64535.99,64269.82,64979.60,PENDING,Signal accepted,62.64,64295.37,64246.60,378.03,176.96
2026-06-18 15:00,SELL,0.00,0.00,0.00,,Volume reject,37.53,64254.62,64270.94,118.75,135.29
2026-06-18 15:15,SELL,63965.48,64205.66,63565.18,PENDING,Signal accepted,36.07,64196.80,64243.18,136.49,135.37
2026-06-18 18:00,BUY,64395.44,64150.87,64803.06,PENDING,Signal accepted,60.08,64213.56,64190.69,133.27,100.55
2026-06-18 18:30,SELL,63885.66,64161.79,63425.44,PENDING,Signal accepted,38.32,64171.95,64177.23,360.42,115.83
2026-06-19 05:45,BUY,63020.00,62788.66,63405.57,PENDING,Signal accepted,52.18,62954.27,62946.95,244.43,136.77
2026-06-19 08:00,SELL,62734.87,62963.85,62353.24,PENDING,Signal accepted,39.41,62925.11,62940.58,173.39,126.65
2026-06-19 17:45,BUY,62830.01,62568.06,63266.59,PENDING,Signal accepted,59.36,62617.36,62607.27,269.06,187.36
2026-06-20 00:45,SELL,0.00,0.00,0.00,,Volume reject,49.32,63053.87,63054.94,91.81,150.74
2026-06-20 01:00,BUY,0.00,0.00,0.00,,Volume reject,51.72,63057.49,63056.49,41.89,146.78
2026-06-20 01:15,BUY,0.00,0.00,0.00,,Volume reject,51.99,63061.51,63058.41,55.00,142.98
2026-06-20 01:30,BUY,0.00,0.00,0.00,,Volume reject,52.62,63067.17,63061.26,46.23,138.19
2026-06-20 01:45,BUY,0.00,0.00,0.00,,Volume reject,60.02,63103.74,63078.42,74.80,135.28
2026-06-20 13:30,SELL,63449.40,63620.45,63164.32,PENDING,Signal accepted,42.72,63594.66,63594.90,219.72,92.64
2026-06-20 14:45,BUY,0.00,0.00,0.00,,Volume reject,59.09,63615.60,63598.95,92.32,100.68
2026-06-20 15:00,BUY,63692.01,63524.05,63971.94,PENDING,Signal accepted,55.94,63630.88,63607.41,94.12,92.92
2026-06-20 18:15,SELL,63348.94,63528.33,63049.95,PENDING,Signal accepted,35.11,63598.36,63623.72,170.64,87.62
2026-06-20 20:00,BUY,64004.10,63743.24,64438.87,PENDING,Signal accepted,63.98,63648.01,63611.83,167.99,123.30
2026-06-21 12:00,SELL,0.00,0.00,0.00,,Volume reject,48.35,64292.00,64292.60,35.13,65.35
2026-06-21 12:15,SELL,64179.46,64302.52,63974.36,PENDING,Signal accepted,42.84,64269.49,64282.32,115.37,69.66
2026-06-21 15:30,BUY,64349.98,64202.22,64596.25,PENDING,Signal accepted,60.04,64215.83,64204.25,69.61,61.45
2026-06-21 17:15,SELL,64021.55,64211.25,63705.39,PENDING,Signal accepted,37.84,64193.01,64212.99,101.78,78.75
2026-06-21 20:30,BUY,64300.00,64117.65,64603.92,PENDING,Signal accepted,57.46,64183.47,64172.66,183.85,78.60
2026-06-21 21:30,SELL,64108.03,64293.20,63799.41,PENDING,Signal accepted,46.20,64167.64,64169.09,76.45,70.70
2026-06-21 22:00,BUY,0.00,0.00,0.00,,Volume reject,52.22,64172.57,64170.86,45.54,66.82
2026-06-21 22:15,SELL,0.00,0.00,0.00,,Volume reject,46.30,64158.98,64164.84,37.50,63.61
2026-06-21 22:30,SELL,0.00,0.00,0.00,,Volume reject,47.75,64152.89,64161.54,53.53,59.86
2026-06-21 22:45,SELL,64151.46,64318.09,63873.74,PENDING,Signal accepted,49.16,64152.60,64160.62,68.47,59.18
2026-06-22 00:00,BUY,0.00,0.00,0.00,,Volume reject,53.83,64157.15,64154.87,38.55,64.89
2026-06-22 00:15,BUY,0.00,0.00,0.00,,Volume reject,53.79,64169.59,64160.73,43.57,64.25
2026-06-22 00:30,BUY,0.00,0.00,0.00,,Volume reject,53.32,64178.22,64165.46,55.19,63.99
2026-06-22 00:45,BUY,0.00,0.00,0.00,,Volume reject,52.90,64184.00,64169.25,51.97,64.64
2026-06-22 01:30,SELL,63975.49,64141.74,63698.41,PENDING,Signal accepted,38.05,64128.10,64146.47,69.61,55.36
2026-06-22 06:15,BUY,64654.01,64264.97,65302.41,PENDING,Signal accepted,69.80,63930.46,63865.48,535.35,176.58
2026-06-22 09:30,SELL,0.00,0.00,0.00,,Volume reject,46.16,64083.43,64087.72,57.44,180.45
2026-06-22 09:45,SELL,0.00,0.00,0.00,,Volume reject,50.73,64086.74,64088.84,45.41,176.80
2026-06-22 10:00,BUY,0.00,0.00,0.00,,Volume reject,56.07,64127.00,64106.94,114.09,174.11
2026-06-22 10:15,BUY,64235.30,63909.81,64777.79,PENDING,Signal accepted,54.30,64148.66,64118.61,261.06,179.50
2026-06-22 11:45,SELL,63989.95,64271.92,63519.99,PENDING,Signal accepted,45.04,64115.09,64121.84,170.98,150.14
2026-06-22 12:00,BUY,0.00,0.00,0.00,,Volume reject,53.42,64134.47,64130.04,97.53,149.16
2026-06-22 12:15,BUY,0.00,0.00,0.00,,Volume reject,55.10,64160.09,64142.09,71.95,149.32
2026-06-22 12:30,BUY,0.00,0.00,0.00,,Volume reject,54.81,64179.23,64152.42,98.28,151.28
2026-06-22 12:45,BUY,0.00,0.00,0.00,,Volume reject,52.87,64185.63,64157.77,84.66,149.24
2026-06-22 15:30,SELL,0.00,0.00,0.00,,Volume reject,45.99,64157.64,64164.16,62.41,91.86
2026-06-22 15:45,SELL,0.00,0.00,0.00,,Volume reject,49.06,64153.96,64161.89,64.88,78.88
2026-06-22 16:00,BUY,64309.46,64068.34,64711.33,PENDING,Signal accepted,56.80,64185.06,64175.31,181.33,84.35
2026-06-22 21:45,SELL,0.00,0.00,0.00,,Volume reject,48.03,64814.08,64823.44,208.14,244.73
2026-06-22 22:00,SELL,0.00,0.00,0.00,,Volume reject,46.67,64786.20,64809.91,100.79,230.92
2026-06-22 22:15,SELL,0.00,0.00,0.00,,Volume reject,42.51,64734.86,64784.42,113.94,227.07
2026-06-22 22:30,SELL,0.00,0.00,0.00,,Volume reject,39.81,64673.25,64751.91,208.52,218.75
2026-06-23 21:00,BUY,62787.26,62426.36,63388.76,PENDING,Signal accepted,57.88,62488.09,62486.87,407.15,243.42
2026-06-23 22:45,SELL,0.00,0.00,0.00,,Volume reject,44.91,62502.47,62503.88,118.56,224.40
2026-06-23 23:00,SELL,0.00,0.00,0.00,,Volume reject,45.36,62476.38,62491.89,143.42,217.68
2026-06-23 23:15,SELL,0.00,0.00,0.00,,Volume reject,44.73,62451.10,62478.99,92.61,212.77
2026-06-23 23:30,SELL,0.00,0.00,0.00,,Volume reject,39.34,62390.53,62448.92,140.55,193.78
2026-06-24 02:00,BUY,0.00,0.00,0.00,,Volume reject,52.67,62446.43,62438.54,108.30,126.80
2026-06-24 02:15,BUY,0.00,0.00,0.00,,Volume reject,54.88,62471.67,62450.73,84.49,123.73
2026-06-24 02:30,BUY,0.00,0.00,0.00,,Volume reject,56.83,62502.14,62466.49,99.16,124.66
2026-06-24 02:45,BUY,0.00,0.00,0.00,,Volume reject,55.61,62521.67,62478.60,75.81,123.72
2026-06-24 09:00,SELL,62664.97,62899.96,62273.32,PENDING,Signal accepted,47.34,62728.58,62732.13,178.74,156.68
2026-06-24 10:15,BUY,0.00,0.00,0.00,,Volume reject,58.10,62752.14,62737.27,86.46,158.27
2026-06-24 10:30,BUY,0.00,0.00,0.00,,Volume reject,59.99,62787.71,62754.79,147.36,150.17
2026-06-24 10:45,BUY,0.00,0.00,0.00,,Volume reject,57.57,62808.17,62767.08,34.82,148.97
2026-06-24 11:00,BUY,0.00,0.00,0.00,,Volume reject,54.49,62814.14,62773.53,47.80,136.30
2026-06-24 12:30,SELL,0.00,0.00,0.00,,Volume reject,46.29,62764.91,62766.94,81.83,132.16
2026-06-24 12:45,SELL,62657.99,62863.04,62316.24,PENDING,Signal accepted,44.12,62743.52,62757.03,189.39,129.80
2026-06-24 17:00,BUY,62843.44,62591.52,63263.30,PENDING,Signal accepted,57.24,62682.03,62677.86,148.46,140.08
2026-06-24 18:00,SELL,62045.87,62354.31,61531.81,PENDING,Signal accepted,30.84,62580.85,62638.54,522.22,153.95
2026-06-25 01:45,BUY,0.00,0.00,0.00,,Volume reject,60.61,60419.97,60374.67,409.48,633.25
2026-06-25 02:00,BUY,0.00,0.00,0.00,,Volume reject,54.87,60481.58,60406.79,467.76,599.22
2026-06-25 02:15,BUY,0.00,0.00,0.00,,Volume reject,57.28,60556.06,60447.45,102.96,587.15
2026-06-25 02:30,BUY,0.00,0.00,0.00,,Volume reject,61.40,60662.45,60505.68,120.64,571.93
2026-06-25 08:30,SELL,0.00,0.00,0.00,,Volume reject,47.40,60806.78,60812.55,140.74,142.97
2026-06-25 08:45,BUY,0.00,0.00,0.00,,Volume reject,52.83,60822.15,60819.01,70.35,142.90
2026-06-25 09:00,BUY,0.00,0.00,0.00,,Volume reject,50.22,60821.72,60819.10,85.93,141.10
2026-06-25 09:15,BUY,0.00,0.00,0.00,,Volume reject,53.38,60837.62,60826.57,80.85,139.39
2026-06-25 09:30,BUY,0.00,0.00,0.00,,Volume reject,56.06,60864.83,60839.94,91.72,140.23
