time,signal,entry,sl,tp,outcome,reason,rsi,ema_fast,ema_slow,volume,volume_ma
2026-06-15 13:45,SELL,0.00,0.00,0.00,,RSI reject: 47.09 <= 55.00,47.09,65741.78,65746.72,131.22,117.20
2026-06-15 14:00,SELL,0.00,0.00,0.00,,Volume reject,47.91,65729.70,65740.78,65.62,114.07
2026-06-15 14:15,SELL,0.00,0.00,0.00,,Volume reject,46.42,65712.60,65732.00,100.61,115.54
2026-06-15 14:30,SELL,0.00,0.00,0.00,,RSI reject: 43.59 <= 55.00,43.59,65684.48,65717.45,116.32,110.93
2026-06-15 15:45,BUY,0.00,0.00,0.00,,RSI reject: 58.79 >= 45.00,58.79,65745.94,65733.22,336.42,109.58
2026-06-15 16:00,BUY,0.00,0.00,0.00,,RSI reject: 59.72 >= 45.00,59.72,65785.23,65752.23,258.05,114.69
2026-06-15 16:15,BUY,0.00,0.00,0.00,,RSI reject: 69.18 >= 45.00,69.18,65879.98,65798.30,666.96,144.17
2026-06-15 16:30,BUY,0.00,0.00,0.00,,RSI reject: 63.73 >= 45.00,63.73,65934.37,65830.45,210.85,151.12
2026-06-16 00:45,SELL,0.00,0.00,0.00,,Volume reject,46.94,66740.98,66743.91,170.69,263.76
2026-06-16 01:00,SELL,0.00,0.00,0.00,,Volume reject,45.10,66704.38,66727.01,97.77,262.65
2026-06-16 01:15,SELL,0.00,0.00,0.00,,Volume reject,45.91,66679.10,66713.46,110.84,252.56
2026-06-16 01:30,SELL,0.00,0.00,0.00,,Volume reject,46.50,66661.69,66702.42,53.28,241.35
2026-06-16 11:15,BUY,0.00,0.00,0.00,,Volume reject,57.66,66116.37,66113.46,100.64,177.55
2026-06-16 11:30,BUY,0.00,0.00,0.00,,RSI reject: 59.51 >= 45.00,59.51,66172.80,66139.38,238.66,186.91
2026-06-16 11:45,BUY,0.00,0.00,0.00,,Volume reject,60.97,66227.44,66167.25,159.94,187.87
2026-06-16 12:00,BUY,0.00,0.00,0.00,,Volume reject,56.45,66251.61,66183.71,83.74,174.74
2026-06-16 18:00,SELL,0.00,0.00,0.00,,RSI reject: 39.66 <= 55.00,39.66,66447.35,66466.47,330.23,147.21
2026-06-16 18:15,SELL,0.00,0.00,0.00,,RSI reject: 34.23 <= 55.00,34.23,66361.72,66425.81,232.24,150.32
2026-06-16 18:30,SELL,0.00,0.00,0.00,,RSI reject: 39.43 <= 55.00,39.43,66315.16,66398.82,566.17,169.01
2026-06-16 18:45,SELL,0.00,0.00,0.00,,RSI reject: 37.21 <= 55.00,37.21,66262.53,66367.29,219.22,168.27
2026-06-17 06:45,BUY,0.00,0.00,0.00,,Volume reject,56.26,65772.71,65772.54,65.80,83.41
